SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.face.CMU.17.04.2017.03.day3,0,soil.face,24.15,CMU,early,Mr 17-04
soil.hip.CMU.17.04.2017.03.day9,0,soil.hip,109.7,CMU,active,Mr 17-04
soil.face.SHSU.2016.076.2016.12.11.day20,0.000410846,soil.face,236.4,SHSU,advanced,2016.076
soil.face.SHSU.2016.072.2016.11.14.day11,0.00029588,soil.face,189.05,SHSU,active,2016.072
soil.face.SHSU.2016.073.2016.11.12.day9,0,soil.face,154,SHSU,active,2016.073
soil.hip.SHSU.2016.072.2016.11.14.day11,0,soil.hip,189.05,SHSU,active,2016.072
soil.hip.SHSU.2016.072.2016.11.24.day21,0.00041657,soil.hip,357.45,SHSU,advanced,2016.072
soil.hip.SHSU.2016.073.2016.11.23.day20,0.008307664,soil.hip,342.45,SHSU,advanced,2016.073
soil.face.SHSU.2016.073.2016.11.19.day16,0.006183206,soil.face,281,SHSU,advanced,2016.073
soil.face.SHSU.2016.076.2016.12.04.day13,0.000176429,soil.face,169.15,SHSU,active,2016.076
soil.hip.SHSU.2016.072.2016.11.09.day6,0,soil.hip,100.6,SHSU,active,2016.072
soil.hip.SHSU.2016.073.2016.11.18.day15,0.006764374,soil.hip,271.25,SHSU,advanced,2016.073
soil.face.CMU.17.04.2017.03.day9,0,soil.face,109.7,CMU,active,Mr 17-04
soil.hip.SHSU.2016.076.2016.12.05.day14,0.000163988,soil.hip,178.6,SHSU,active,2016.076
soil.hip.CMU.17.04.2017.03.day2,0,soil.hip,12.5,CMU,early,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.21.day18,0.00076599,soil.hip,305.2,SHSU,advanced,2016.073
soil.hip.SHSU.2016.072.2016.11.12.day9,0,soil.hip,154,SHSU,active,2016.072
soil.face.SHSU.2016.073.2016.11.04.day1,0,soil.face,0,SHSU,placement,2016.073
soil.hip.CMU.17.04.2017.03.day15,0,soil.hip,202.45,CMU,advanced,Mr 17-04
soil.face.SHSU.2016.076.2016.11.25.day4,0.000193461,soil.face,47.5,SHSU,early,2016.076
soil.hip.SHSU.2016.073.2016.11.10.day7,0,soil.hip,117.55,SHSU,active,2016.073
soil.face.SHSU.2016.073.2016.11.22.day19,0.01415307,soil.face,326.9,SHSU,advanced,2016.073
soil.face.CMU.17.04.2017.03.day8,0,soil.face,92.2,CMU,active,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.14.day11,0,soil.hip,189.05,SHSU,active,2016.073
soil.hip.CMU.17.04.2017.03.day6,0,soil.hip,61.65,CMU,active,Mr 17-04
soil.face.SHSU.2016.073.2016.11.05.day2,0,soil.face,19.45,SHSU,early,2016.073
soil.face.SHSU.2016.073.2016.11.11.day8,0.019047619,soil.face,135.35,SHSU,active,2016.073
soil.face.SHSU.2016.073.2016.11.16.day13,0,soil.face,230.7,SHSU,advanced,2016.073
soil.hip.SHSU.2016.072.2016.11.10.day7,0,soil.hip,117.55,SHSU,active,2016.072
soil.face.SHSU.2016.073.2016.11.17.day14,0,soil.face,252.9,SHSU,advanced,2016.073
soil.hip.CMU.17.04.2017.03.day10,0,soil.hip,127.45,CMU,active,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.24.day21,0.024601111,soil.hip,357.45,SHSU,advanced,2016.073
soil.face.SHSU.2016.076.2016.11.22.day1,0,soil.face,0,SHSU,placement,2016.076
soil.face.SHSU.2016.072.2016.11.18.day15,0.000181148,soil.face,271.25,SHSU,advanced,2016.072
soil.hip.SHSU.2016.076.2016.12.03.day12,0.002112417,soil.hip,159.15,SHSU,active,2016.076
soil.hip.SHSU.2016.073.2016.11.16.day13,0,soil.hip,230.7,SHSU,advanced,2016.073
soil.hip.SHSU.2016.073.2016.11.12.day9,0,soil.hip,154,SHSU,active,2016.073
soil.face.CMU.17.04.2017.03.day1,0,soil.face,0,CMU,placement,Mr 17-04
soil.hip.CMU.17.04.2017.03.day13,0,soil.hip,180.25,CMU,active,Mr 17-04
soil.hip.SHSU.2016.076.2016.11.28.day7,0.003017698,soil.hip,99.45,SHSU,active,2016.076
soil.hip.SHSU.2016.076.2016.12.02.day11,0.000737681,soil.hip,149.4,SHSU,active,2016.076
soil.face.SHSU.2016.076.2016.11.24.day3,0.000179083,soil.face,30.55,SHSU,early,2016.076
soil.face.CMU.17.04.2017.03.day7,0,soil.face,76.65,CMU,active,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.08.day5,0,soil.hip,82,SHSU,active,2016.073
soil.hip.SHSU.2016.073.2016.11.04.day1,0,soil.hip,0,SHSU,placement,2016.073
soil.face.SHSU.2016.072.2016.11.22.day19,0.012892072,soil.face,326.9,SHSU,advanced,2016.072
soil.face.SHSU.2016.073.2016.11.06.day3,0,soil.face,40.6,SHSU,early,2016.073
soil.face.SHSU.2016.072.2016.11.08.day5,0,soil.face,82,SHSU,active,2016.072
soil.face.SHSU.2016.073.2016.11.24.day21,0.024078696,soil.face,357.45,SHSU,advanced,2016.073
soil.face.SHSU.2016.073.2016.11.09.day6,0,soil.face,100.6,SHSU,active,2016.073
soil.hip.CMU.17.04.2017.03.day11,0,soil.hip,144.95,CMU,active,Mr 17-04
soil.face.SHSU.2016.073.2016.11.15.day12,0,soil.face,209.6,SHSU,advanced,2016.073
soil.hip.CMU.17.04.2017.03.day19,0,soil.hip,243.55,CMU,advanced,Mr 17-04
soil.face.CMU.17.04.2017.03.day11,0,soil.face,144.95,CMU,active,Mr 17-04
soil.face.SHSU.2016.072.2016.11.24.day21,0.000309917,soil.face,357.45,SHSU,advanced,2016.072
soil.face.CMU.17.04.2017.03.day13,0,soil.face,180.25,CMU,active,Mr 17-04
soil.hip.SHSU.2016.072.2016.11.17.day14,0.00037683,soil.hip,252.9,SHSU,advanced,2016.072
soil.hip.SHSU.2016.076.2016.12.06.day15,0,soil.hip,190.5,SHSU,active,2016.076
soil.hip.CMU.17.04.2017.03.day4,0,soil.hip,34.15,CMU,early,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.11.day8,0,soil.hip,135.35,SHSU,active,2016.073
soil.face.SHSU.2016.072.2016.11.07.day4,0.000450897,soil.face,62.55,SHSU,active,2016.072
soil.hip.SHSU.2016.072.2016.11.13.day10,0,soil.hip,170.4,SHSU,active,2016.072
soil.face.SHSU.2016.073.2016.11.18.day15,0,soil.face,271.25,SHSU,advanced,2016.073
soil.hip.SHSU.2016.073.2016.11.05.day2,0,soil.hip,19.45,SHSU,early,2016.073
soil.hip.SHSU.2016.076.2016.12.08.day17,0,soil.hip,210.25,SHSU,advanced,2016.076
soil.face.SHSU.2016.076.2016.12.01.day10,0,soil.face,137.75,SHSU,active,2016.076
soil.hip.SHSU.2016.072.2016.11.18.day15,0.000563963,soil.hip,271.25,SHSU,advanced,2016.072
soil.face.SHSU.2016.073.2016.11.21.day18,0,soil.face,305.2,SHSU,advanced,2016.073
soil.hip.CMU.17.04.2017.03.day21,0.000615195,soil.hip,267.15,CMU,advanced,Mr 17-04
soil.hip.SHSU.2016.073.2016.11.17.day14,0,soil.hip,252.9,SHSU,advanced,2016.073
soil.hip.CMU.17.04.2017.03.day1,0,soil.hip,0,CMU,placement,Mr 17-04
soil.face.SHSU.2016.072.2016.11.06.day3,0,soil.face,40.6,SHSU,early,2016.072
soil.hip.SHSU.2016.076.2016.11.26.day5,0.003376539,soil.hip,63.6,SHSU,active,2016.076
soil.face.SHSU.2016.076.2016.12.09.day18,9.6782E-05,soil.face,213.9,SHSU,advanced,2016.076
soil.hip.SHSU.2016.073.2016.11.22.day19,0.008188153,soil.hip,326.9,SHSU,advanced,2016.073
soil.face.SHSU.2016.072.2016.11.10.day7,0,soil.face,117.55,SHSU,active,2016.072
soil.hip.SHSU.2016.072.2016.11.20.day17,0,soil.hip,289.9,SHSU,advanced,2016.072
soil.face.SHSU.2016.073.2016.11.23.day20,0.040927782,soil.face,342.45,SHSU,advanced,2016.073
soil.face.SHSU.2016.076.2016.11.27.day6,0,soil.face,80.3,SHSU,active,2016.076
soil.hip.SHSU.2016.076.2016.11.29.day8,0.008358842,soil.hip,116.1,SHSU,active,2016.076
soil.hip.SHSU.2016.076.2016.12.09.day18,0.000162646,soil.hip,213.9,SHSU,advanced,2016.076
