id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
926,1.813582790204144e-5,4.346791777529184e-5,1.1559353954807908e-4,2.1763756124115405e-5
634,5.298064122238042e-5,5.5376545278795627e-05,5.6164705743532014e-5,8.570553302896741e-5
856,1.2338006721285535e-4,1.3312693425423077e-4,1.3356845244760166e-4,1.326139794224226e-4
1320,1.9691044915451012e-5,2.2011145847030447e-5,2.72380511237535e-5,2.161249214767304e-5
740,1.1613085404168088e-5,1.368432009426195e-5,1.5222044531777846e-5,1.2739679041372677e-5
2686,1.161308540416802e-5,1.351694645937517e-5,1.5043989023481168e-5,1.2474339791491132e-5
1056,1.1677384187838708e-5,1.594401407844096e-5,2.2296528484000378e-5,1.298756541579774e-5
5260,1.2013037605656334e-5,1.3239775621771304e-5,1.4992403195656756e-5,1.2872791667223943e-5
451,4.324231192984575e-4,5.212997799865487e-4,5.95765192731161e-4,4.8066780780600985e-4
4280,1.1613085404164056e-5,3.019803060741162e-5,3.918298620688705e-5,1.250980978886526e-5
765,7.677039584368715e-5,8.731502070966578e-5,8.454241033777391e-5,8.424291971400111e-5
2060,4.247604785823702e-5,5.247230816383432e-5,1.1354046196567166e-4,5.328376876044841e-5
2159,1.1613085404168589e-5,1.3738196797882211e-5,2.6662144825302948e-5,1.2509809788869675e-5
4745,1.161308540416355e-5,4.4477041839499247e-5,7.494261361406569e-5,1.2509809788864084e-5
5754,7.68082540131169e-5,1.3724436170157604e-4,2.473657019783007e-4,8.226027737349592e-5
472,3.8996104738182676e-5,4.928647018477271e-5,5.814272155072241e-5,4.555781987348492e-5
5028,1.1613085404165962e-5,1.6520292474851895e-5,3.164627147704163e-5,1.2509809788867266e-5
8444,1.2112561026359257e-5,1.7896359936099232e-5,2.2975487064727048e-5,1.3661973798940034e-5
2850,1.1613085404168147e-5,1.3494044192327718e-5,1.6310261313598596e-5,1.2509809788869248e-5
3196,1.2257847839245785e-5,1.7062355919044617e-5,1.7814099228814553e-5,1.5599254134920696e-5
3118,1.1613085404167976e-5,1.397641654571124e-5,2.8896542316356162e-5,1.274012103652898e-5
730,1.7090531871729385e-5,2.011209202964628e-5,7.787858313354205e-5,1.9183764049203106e-5
3045,1.1613085404167322e-5,1.3402458443201219e-5,2.1372801182836967e-5,1.2509809788868514e-5
215,1.4178040523156598e-4,1.5002583365816282e-4,1.5837428403201674e-4,1.533588269035512e-4
3943,1.1613085404167842e-5,1.3058826118242834e-5,2.0819306688971275e-5,1.250980978886898e-5
5979,1.2399806514108063e-5,1.600806734090901e-5,2.021307918638135e-5,1.329018241268515e-5
2911,1.161308540416779e-5,1.3468456970366941e-5,3.060889827176405e-5,1.2505197155311455e-5
6463,1.1613085404167923e-5,2.0709428254578285e-5,1.7975164072293806e-5,1.250980978886897e-5
3185,1.3603711623773548e-5,1.7462799502441803e-5,1.8107768988567662e-5,1.676388464794993e-5
758,5.944516170439923e-5,6.194657936316922e-5,6.276962259889028e-5,6.160768708977343e-5
673,3.579066210451542e-5,3.945263268563253e-5,4.2036380144818065e-5,3.9521039531798086e-5
241,5.172992268115199e-4,5.487029111449717e-4,5.50109248228818e-4,5.599602961089838e-4
2532,3.489623519903131e-5,3.7052600153587055e-5,3.7831530893064445e-5,3.6798107658051516e-5
4277,1.1613085404170385e-5,2.1220697528227107e-5,4.5468982063409807e-05,1.2509809788871255e-5
3440,2.926327214266976e-5,3.1432314904329324e-5,3.247856112540467e-5,3.1475053974202955e-5
6493,1.1613085404167628e-5,1.3125968082938732e-5,1.4902007728385856e-5,1.2509809788868782e-5
2805,0.0012359616061374794,0.0013275645381184184,0.001308640559721307,0.001350466722371897
3147,1.1613085404168277e-5,1.3375074266195485e-5,1.7797527169496847e-5,1.2509809788869398e-5
3495,1.1613085404161403e-5,1.7308163917562074e-5,5.528977179468578e-5,1.2509809788863915e-5
3600,1.1613085404168372e-5,1.3415646295025092e-5,1.4620553376698144e-5,1.2509809788869487e-5
2953,9.555668367757865e-5,1.013340508061336e-4,9.931321230278065e-5,1.049657587936115e-4
3915,1.1613085404167828e-5,1.3688185378713543e-5,1.7014921158833595e-5,1.2509809788868999e-5
715,1.1886862383743097e-5,1.3968359164936544e-5,3.668873076830619e-5,1.2867004207067204e-5
685,7.160332762287006e-5,1.543918757561098e-4,1.8975850772981898e-4,8.149003094930435e-5
753,2.2851323097402814e-5,5.184973561055025e-5,4.4551960220735824e-5,2.4964114978218824e-5
735,2.9249073853310268e-5,3.145297592324746e-5,3.2132074685477546e-5,3.128754497621573e-5
5537,1.1613085404168055e-5,1.3189652869146259e-5,1.4587092367240719e-5,1.2509809788869178e-5
2401,2.0184619442401854e-4,2.13535060766262e-4,2.1052376789781261e-4,2.1824847756706173e-4
1528,2.6743908232692844e-5,2.973901632880914e-5,4.048471145680099e-5,2.9923283538687627e-5
3702,1.1613085404167037e-5,1.5608288240432028e-5,3.837679584826214e-5,1.2509809788868206e-5
6421,1.1613085404167928e-5,1.8257900968222098e-5,3.9797487600698796e-5,1.2509809788868621e-05
1127,9.35642930567691e-5,9.953777870935418e-5,1.0062354802993278e-4,9.861214838523587e-5
3490,1.2421487601345038e-5,1.4242309973697057e-5,1.5817291983794145e-5,1.3383062466313401e-5
873,1.1811268410087218e-5,1.4382816025220803e-5,1.832532423011969e-5,1.2807933151048363e-5
9367,1.812384872465197e-5,1.9927733008855986e-5,2.0955272474721996e-5,1.9660626525376882e-5
989,5.869547553613628e-5,6.262511102515812e-5,6.464714852312165e-5,6.186551263549679e-5
6450,1.161308540416815e-5,1.3418019497746089e-5,1.9740165542383167e-5,1.250980978886934e-5
3146,1.1613085404177076e-5,1.0005826223225136e-4,1.1426997596814941e-4,1.2918339661350472e-5
9347,1.1613085404167857e-5,1.3280479635671625e-5,1.4593106551216273e-5,1.2503700389477142e-5
3872,1.1613085404168328e-5,1.41011768162694e-5,2.2280514141368626e-5,1.2657596987175766e-5
2082,2.6890496255118472e-5,3.2781703578808336e-5,4.1887681412707354e-5,2.8392148689125647e-5
2965,1.1613085404146647e-5,9.632838168160984e-5,2.0079490016744784e-4,1.2604828942898212e-5
5934,1.1613085404166829e-5,1.4620705233004719e-5,1.605091595212002e-5,1.2514560253670207e-5
3073,1.2679357258655368e-5,4.0381393484186645e-5,8.823077883651407e-5,1.3572459013779114e-5
3227,0.0010947114500867575,0.0011757860282384728,0.0011502383480754418,0.001215757096714599
4636,1.161308540416834e-5,1.346736681874219e-5,1.485032120803628e-5,1.2509809788869458e-5
3409,1.0655402495250227e-5,1.2718882931328916e-5,1.436113424424678e-5,1.2252654558032727e-5
6362,4.464713944566451e-4,4.62514057630544e-4,4.545542302210643e-4,4.83975248284259e-4
2362,2.4113588343700399e-4,2.5217406327433133e-4,2.5492704583071363e-4,2.525601295465858e-4
2854,1.1613085404167454e-5,1.3752545374778104e-5,1.7777459985199164e-5,1.2509809788868678e-5
3898,1.1096420142575832e-5,1.3072760715641456e-5,1.4688111909786504e-5,1.2051731530568185e-5
4284,1.161308540416815e-5,1.3487508755919364e-5,1.7084419480149863e-5,1.2509809788869282e-5
2058,3.479548617414807e-5,5.187168974624032e-5,5.982113890792313e-5,3.805176548605954e-5
3070,1.1613085404170065e-5,1.4196867368583622e-5,3.2962059960282264e-5,1.2509809788871045e-5
2705,1.1613085404167864e-5,1.3523714594203032e-5,1.5544332909951683e-5,1.2509809788869017e-5
4380,1.1613085404167835e-5,1.334868084457332e-5,1.640346533579424e-5,1.2509809788869017e-5
696,2.553141297104416e-5,2.8601019045530848e-5,2.9452388439076963e-5,2.8242362983572048e-5
1184,1.3284751868222282e-5,1.529392678883453e-5,1.6829653510037366e-5,1.5455761676324304e-5
2325,1.161308540416815e-5,1.3608676293500152e-5,1.5083185906900505e-5,1.2509809788869209e-5
3828,1.1238209728709853e-5,2.110225150309542e-5,2.2092738452555216e-5,1.2191221913740836e-5
2902,1.1613085404165067e-5,2.4029032699302894e-5,5.9337176726361136e-5,1.2509809788866436e-5
4451,1.1679148201262283e-5,1.358222822353244e-5,1.5185291768578346e-5,1.2702585580175758e-5
2928,1.1613085404165543e-5,1.3792870558300584e-5,5.465636847688537e-5,1.2509809788866845e-5
3714,1.1613085404167993e-5,1.3376919333702061e-5,1.456345514198541e-5,1.2509809788869134e-5
1551,6.352672428075529e-5,7.123062634411897e-5,6.530253163784867e-5,6.984088298955401e-5
2448,4.659332277965203e-5,4.9236754213644244e-5,4.976276959127042e-5,4.992298495251035e-5
3538,1.1613085404168936e-5,1.6163858815575178e-5,2.3026826076066675e-5,1.2509809788870205e-5
4122,1.1613085404168364e-5,1.687498616878515e-5,2.4869214355875134e-5,1.2509809788869495e-5
2064,1.9372836122817406e-5,2.6141363575967814e-4,4.3060634709800603e-4,2.1268989604931296e-5
2929,1.1613085404167803e-5,1.331554702632553e-5,1.4846171828467255e-5,1.2509809788868943e-5
