sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.UTK.K016.10.2017.05.25.day1,summer,UTK.K016.10,0,day0,UTK,0
soil.hip.CMU.17.12.2017.10.30.day21,fall,17-12,232.9,advanced,CMU,233
soil.hip.CMU.17.12.2017.10.27.day18,fall,17-12,200.4,advanced,CMU,200
soil.hip.CMU.17.12.2017.10.25.day16,fall,17-12,179,active,CMU,179
soil.hip.CMU.17.12.2017.10.26.day17,fall,17-12,190.95,active,CMU,191
soil.hip.CMU.16.14.2016.12.day.day9,fall,16-14,1.4,early,CMU,1
soil.hip.SHSU.2016.024.2016.05.03.day19,spring,shsu.2016.024,409.1666667,advanced,SHSU,409
soil.hip.SHSU.2016.024.2016.05.04.day20,spring,shsu.2016.024,428.6111111,advanced,SHSU,429
soil.hip.SHSU.2016.024.2016.05.02.day18,spring,shsu.2016.024,391.6666667,advanced,SHSU,392
soil.hip.SHSU.2016.024.2016.05.01.day17,spring,shsu.2016.024,373.6111111,advanced,SHSU,374
soil.hip.SHSU.2016.024.2016.04.29.day15,spring,shsu.2016.024,324.4444445,advanced,SHSU,324
soil.hip.SHSU.2016.024.2016.04.30.day16,spring,shsu.2016.024,350,advanced,SHSU,350
soil.hip.SHSU.2016.024.2016.04.28.day14,spring,shsu.2016.024,296.3888889,advanced,SHSU,296
soil.hip.SHSU.2016.024.2016.04.27.day13,spring,shsu.2016.024,271.1111111,advanced,SHSU,271
soil.hip.SHSU.2016.024.2016.04.25.day11,spring,shsu.2016.024,220.5555556,advanced,SHSU,221
soil.hip.SHSU.2016.024.2016.04.26.day12,spring,shsu.2016.024,247.2222222,advanced,SHSU,247
soil.hip.SHSU.2016.024.2016.04.24.day10,spring,shsu.2016.024,194.7222222,active,SHSU,195
soil.hip.SHSU.2016.024.2016.04.23.day9,spring,shsu.2016.024,174.4444445,active,SHSU,174
soil.hip.SHSU.2016.024.2016.04.21.day7,spring,shsu.2016.024,132.7777778,active,SHSU,133
soil.hip.SHSU.2016.024.2016.04.22.day8,spring,shsu.2016.024,153.8888889,active,SHSU,154
