id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.ctrl.UTK.K016.08.2017.Jan.06.day1	Control Soil	K016.08	1340	1177.927649	-8.81508697	0
soil.ctrl.UTK.K016.08.2017.Jan.09.day3	Control Soil	K016.08	1140	1177.927649	-208.815087	0
soil.ctrl.UTK.K016.08.2017.Jan.10.day4	Control Soil	K016.08	1137	1178.24009	-212.1275284	3.9
soil.ctrl.UTK.K016.08.2017.Jan.11.day5	Control Soil	K016.08	1093	1179.193437	-257.0808752	15.8
soil.ctrl.UTK.K016.08.2017.Jan.12.day6	Control Soil	K016.08	1239	1180.555361	-112.4427992	32.8
soil.ctrl.UTK.K016.08.2017.Jan.13.day7	Control Soil	K016.08	1310	1181.877228	-42.76466657	49.3
soil.ctrl.UTK.K016.08.2017.Jan.14.day8	Control Soil	K016.08	1349	1183.094949	-4.982386847	64.5
soil.ctrl.UTK.K016.08.2017.Jan.15.day9	Control Soil	K016.08	1276	1184.368748	-79.25618635	80.4
soil.ctrl.UTK.K016.08.2017.Jan.16.day10	Control Soil	K016.08	1253	1185.466299	-103.3537369	94.1
soil.ctrl.UTK.K016.08.2017.Jan.17.day11	Control Soil	K016.08	1323	1186.716064	-34.60350242	109.7
soil.ctrl.UTK.K016.08.2017.Jan.18.day12	Control Soil	K016.08	1341	1187.869694	-17.75713216	124.1
soil.ctrl.UTK.K016.08.2017.Jan.19.day13	Control Soil	K016.08	1264	1188.654803	-95.54224129	133.9
soil.ctrl.UTK.K016.08.2017.Jan.20.day14	Control Soil	K016.08	1319	1189.808433	-41.69587103	148.3
soil.ctrl.UTK.K016.08.2017.Jan.21.day15	Control Soil	K016.08	1182	1190.82587	-179.7133084	161
soil.ctrl.UTK.K016.08.2017.Jan.22.day16	Control Soil	K016.08	1393	1191.915409	30.19715243	174.6
soil.ctrl.UTK.K016.08.2017.Jan.23.day17	Control Soil	K016.08	1374	1192.844722	10.26783959	186.2
soil.ctrl.UTK.K016.08.2017.Jan.24.day18	Control Soil	K016.08	1370	1193.477616	5.634945495	194.1
soil.ctrl.UTK.K016.08.2017.Jan.25.day19	Control Soil	K016.08	1357	1194.126533	-8.013971234	202.2
soil.ctrl.UTK.K016.08.2017.Jan.26.day20	Control Soil	K016.08	1310	1194.983744	-55.87118222	212.9
soil.ctrl.UTK.K016.08.2017.Jan.27.day21	Control Soil	K016.08	1403	1195.224084	36.88847825	215.9
soil.ctrl.UTK.K016.09.2017.Jan.06.day1	Control Soil	K016.09	1345	1177.927649	-66.76230893	0
soil.ctrl.UTK.K016.09.2017.Jan.08.day2	Control Soil	K016.09	1447	1177.927649	35.23769107	0
soil.ctrl.UTK.K016.09.2017.Jan.09.day3	Control Soil	K016.09	1396	1177.927649	-15.76230893	0
soil.ctrl.UTK.K016.09.2017.Jan.10.day4	Control Soil	K016.09	1435	1178.24009	22.92524968	3.9
soil.ctrl.UTK.K016.09.2017.Jan.11.day5	Control Soil	K016.09	1147	1179.193437	-266.0280971	15.8
soil.ctrl.UTK.K016.09.2017.Jan.12.day6	Control Soil	K016.09	1340	1180.555361	-74.39002112	32.8
soil.ctrl.UTK.K016.09.2017.Jan.13.day7	Control Soil	K016.09	1182	1181.877228	-233.7118885	49.3
soil.ctrl.UTK.K016.09.2017.Jan.14.day8	Control Soil	K016.09	1288	1183.094949	-128.9296088	64.5
soil.ctrl.UTK.K016.09.2017.Jan.15.day9	Control Soil	K016.09	1223	1184.368748	-195.2034083	80.4
soil.ctrl.UTK.K016.09.2017.Jan.16.day10	Control Soil	K016.09	1200	1185.466299	-219.3009588	94.1
soil.ctrl.UTK.K016.09.2017.Jan.17.day11	Control Soil	K016.09	1254	1186.716064	-166.5507244	109.7
soil.ctrl.UTK.K016.09.2017.Jan.18.day12	Control Soil	K016.09	1290	1187.869694	-131.7043541	124.1
soil.ctrl.UTK.K016.09.2017.Jan.20.day14	Control Soil	K016.09	1257	1189.808433	-166.643093	148.3
soil.ctrl.UTK.K016.09.2017.Jan.21.day15	Control Soil	K016.09	1261	1190.82587	-163.6605303	161
soil.ctrl.UTK.K016.09.2017.Jan.22.day16	Control Soil	K016.09	1240	1191.915409	-185.7500695	174.6
soil.ctrl.UTK.K016.09.2017.Jan.24.day18	Control Soil	K016.09	1328	1193.477616	-99.31227647	194.1
soil.ctrl.UTK.K016.09.2017.Jan.25.day19	Control Soil	K016.09	1341	1194.126533	-86.96119319	202.2
soil.ctrl.UTK.K016.09.2017.Jan.26.day20	Control Soil	K016.09	1150	1194.983744	-278.8184042	212.9
soil.ctrl.UTK.K016.09.2017.Jan.27.day21	Control Soil	K016.09	1331	1195.224084	-98.05874371	215.9
